text,label
chest pain severe sweating left arm pain difficulty breathing,Critical
cardiac arrest not breathing no pulse bystander CPR,Critical
stroke sudden slurred speech facial drooping arm weakness,Critical
severe head trauma unconscious bleeding road accident,Critical
multiple stab wounds abdomen heavy bleeding unconscious,Critical
not breathing child drowning near death,Critical
severe allergic reaction throat swelling cannot breathe,Critical
gunshot wound chest losing consciousness,Critical
major burns over 40 percent body fire accident,Critical
fall from height unconscious neck injury,Critical
diabetic seizure unresponsive blood sugar very low,Critical
severe asthma attack cannot speak blue lips,Critical
heart attack crushing chest pain radiating jaw,Critical
overdose unconscious drugs alcohol not waking,Critical
spinal injury paralysis cannot move legs,Critical
severe internal bleeding abdomen rigid board like,Critical
aortic aneurysm sudden severe back pain tearing,Critical
status epilepticus seizure not stopping,Critical
baby not breathing turned blue,Critical
electrocution high voltage unconscious burns,Critical
severe crush injury machinery trapped,Critical
penetrating eye injury vision gone,Critical
severe meningitis stiff neck photophobia confusion,Critical
hypoglycemic coma unresponsive diabetic,Critical
pulmonary embolism sudden chest pain coughing blood cannot breathe,Critical
chest pain severe pressure radiating arm sweating,Critical
unconscious male breathing very slow faint pulse,Critical
serious fall downstairs elderly unresponsive,Critical
child ran over by slow vehicle not breathing,Critical
drowning adult pulled from water not breathing,Critical
anaphylactic shock known allergy throat closing,Critical
severe asthma intubation may be needed cyanosis,Critical
multiple trauma accident unconscious bleeding,Critical
severe sepsis high fever rapid pulse confused elderly,Critical
acute MI symptoms classic heart attack male 60,Critical
ruptured appendix severe pain fever rigid abdomen,Critical
severe head injury GCS 3 motor posturing,Critical
eclampsia pregnant seizure high blood pressure,Critical
acute respiratory failure oxygen saturation 70 percent,Critical
high fever 104 seizure child not responding,Urgent
broken leg bone visible moderate pain conscious,Urgent
deep cut arm bleeding moderate stitches needed,Urgent
moderate burns hand fire kitchen accident,Urgent
severe vomiting dehydration cannot keep fluids,Urgent
road accident minor injuries conscious pain arm,Urgent
electric shock conscious confused mild burns,Urgent
dog bite deep wound bleeding hand,Urgent
eye injury foreign object vision blurred,Urgent
allergic reaction hives swelling mild breathing okay,Urgent
fall elderly wrist fracture pain swelling,Urgent
appendicitis stomach pain right side fever nausea,Urgent
kidney stone severe pain back side cannot urinate,Urgent
head injury minor concussion dizzy nausea vomiting,Urgent
dislocated shoulder severe pain arm hanging,Urgent
chest infection high fever shortness breath elderly,Urgent
severe migraine photophobia vomiting cannot function,Urgent
rib fracture pain breathing difficult,Urgent
eye chemical burn rinse needed urgent,Urgent
food poisoning severe vomiting diarrhea blood,Urgent
asthma attack moderate using inhaler struggling,Urgent
broken collarbone fall sports pain arm,Urgent
suspected overdose conscious but confused,Urgent
severe dehydration infant sunken eyes no urine,Urgent
hand crush industrial accident bleeding,Urgent
facial fracture assault bleeding swollen eye,Urgent
snakebite limb swelling pain spreading,Urgent
poisoning child ingested cleaning chemical,Urgent
psychiatric emergency suicidal thoughts with plan,Urgent
smoke inhalation coughing chest tightness no burns,Urgent
femur fracture accident blood loss significant,Urgent
suspected fracture spine alert conscious neck pain,Urgent
severe dental abscess facial swelling fever,Urgent
acute urinary retention unable to urinate severe pain,Urgent
partial thickness burns chest 15 percent,Urgent
fall elderly hip pain cannot stand,Urgent
alcohol poisoning semiconscious vomiting,Urgent
hypertensive crisis headache nosebleed blood pressure very high,Urgent
corneal abrasion severe eye pain tearing,Urgent
broken nose bleeding swollen pain,Urgent
pediatric fever 103 F seizure history,Urgent
laceration face deep needs plastic surgery,Urgent
testicular torsion sudden severe pain nausea,Urgent
sprained ankle swelling pain cannot walk,Low
small cut finger minor bleeding,Low
mild fever headache cold symptoms,Low
sore throat mild pain no fever,Low
minor bruise knee fall pain walking okay,Low
toothache mild pain swelling gum,Low
insect bite swelling itching minor,Low
backache chronic pain not acute,Low
eye redness irritation no injury,Low
minor headache no other symptoms,Low
nausea mild stomach upset vomiting once,Low
rash skin irritation no breathing issue,Low
ear pain mild no fever child,Low
constipation bloating no other symptoms,Low
fainting episode recovered conscious talking,Low
mild dizziness standing up no other symptoms,Low
cold runny nose sneezing no fever,Low
muscle cramp leg exercise mild pain,Low
anxiety panic attack conscious breathing fast,Low
heartburn acid reflux chest discomfort mild,Low
minor burn finger hot water small area,Low
headache after screen time mild no vomiting,Low
knee pain mild walking difficulty no fall,Low
stomach cramp menstrual pain mild,Low
dry cough no fever no breathing difficulty,Low
swollen ankle old injury chronic mild pain,Low
minor nose bleed stopped itself,Low
mild allergic rash no throat swelling,Low
sunburn mild red skin pain manageable,Low
finger swollen possible minor fracture walking okay,Low
shoulder pain mild stiffness no trauma,Low
indigestion bloating after meal,Low
pink eye redness discharge no pain,Low
mild earache no fever adult,Low
chapped skin dry hands minor bleeding,Low
mild joint pain arthritis chronic,Low
blister foot walking minor,Low
shin bump minor bruise no fracture suspected,Low
runny nose mild sneezing no temperature,Low
insomnia fatigue no medical emergency,Low
food allergy mild reaction rash no throat issue,Low
bruised toe stubbed painful walking okay,Low
elbow scrape fall bicycle no deep cut,Low
wrist sore typing strain no fracture,Low
lip cut minor bled stopped,Low
neck stiffness mild woke up pain,Low
back strain lifting mild pain movement okay,Low
sore muscles after exercise general body ache,Low
congestion sinus pressure mild headache,Low
sprained thumb sport mild swelling,Low
period cramps moderate taking painkillers,Low
mosquito bites multiple itching discomfort,Low
headache tension mild work stress,Low
chest pain crushing pressure sweating difficulty breathing radiating shoulder,Critical
elderly female collapsed sudden confusion slurred speech right arm weakness,Critical
man found unconscious no response to stimuli breathing irregular,Critical
multi-vehicle collision one trapped multiple casualties bleeding,Critical
child fell into pool pulled out blue lips not breathing,Critical
sudden onset severe headache stiff neck photophobia fever,Critical
massive hemorrhage leg wound bone visible tourniquet needed,Critical
cardiac emergency patient clutching chest sweating profusely,Critical
stroke symptoms FAST face drooping arm weakness speech difficulty,Critical
severe respiratory distress cyanotic lips unable to speak full sentences,Critical
